严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	57	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	294	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	299	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	311	
消息(活动)	IDE0017	可以简化对象初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelPages.cs	139	
消息(活动)	IDE0017	可以简化对象初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	209	
消息(活动)	IDE0017	可以简化对象初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	224	
消息(活动)	IDE0075	可以简化条件表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	50	
消息(活动)	IDE0075	可以简化条件表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	64	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\App\SettingsShell.cs	92	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardBindingRegistry.cs	13	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardBindingRegistry.cs	14	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	230	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\PageFactory.cs	18	
消息(活动)	IDE0306	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\PageFactory.cs	18	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\PageFactory.cs	18	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\CoreShellProvider.cs	41	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	11	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	22	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelPages.cs	42	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	30	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	43	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	68	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	79	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	80	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	81	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	82	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	83	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	84	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	85	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	86	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	87	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	15	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	16	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	47	
